C_svc,C_lgs,alpha_nb,ngram,trained,indexing
0.01,0.31000000000000005,1.9,1,N,445
0.01,0.31000000000000005,1.9,2,N,446
0.01,0.31000000000000005,1.9,3,N,447
0.01,0.31000000000000005,1.9,4,N,448
0.01,0.31000000000000005,1.9,5,N,449
0.01,0.31000000000000005,2.2,1,N,450
0.01,0.31000000000000005,2.2,2,N,451
0.01,0.31000000000000005,2.2,3,N,452
0.01,0.31000000000000005,2.2,4,N,453
0.01,0.31000000000000005,2.2,5,N,454
0.01,0.31000000000000005,2.5,1,N,455
0.01,0.31000000000000005,2.5,2,N,456
0.01,0.31000000000000005,2.5,3,N,457
0.01,0.31000000000000005,2.5,4,N,458
0.01,0.31000000000000005,2.5,5,N,459
0.01,0.31000000000000005,2.8000000000000003,1,N,460
0.01,0.31000000000000005,2.8000000000000003,2,N,461
0.01,0.31000000000000005,2.8000000000000003,3,N,462
0.01,0.31000000000000005,2.8000000000000003,4,N,463
0.01,0.31000000000000005,2.8000000000000003,5,N,464
0.01,0.31000000000000005,3.1000000000000005,1,N,465
0.01,0.31000000000000005,3.1000000000000005,2,N,466
0.01,0.31000000000000005,3.1000000000000005,3,N,467
0.01,0.31000000000000005,3.1000000000000005,4,N,468
0.01,0.31000000000000005,3.1000000000000005,5,N,469
0.01,0.31000000000000005,3.4000000000000004,1,N,470
0.01,0.31000000000000005,3.4000000000000004,2,N,471
0.01,0.31000000000000005,3.4000000000000004,3,N,472
0.01,0.31000000000000005,3.4000000000000004,4,N,473
0.01,0.31000000000000005,3.4000000000000004,5,N,474
0.01,0.31000000000000005,3.7,1,N,475
0.01,0.31000000000000005,3.7,2,N,476
0.01,0.31000000000000005,3.7,3,N,477
0.01,0.31000000000000005,3.7,4,N,478
0.01,0.31000000000000005,3.7,5,N,479
0.01,0.31000000000000005,4.0,1,N,480
0.01,0.31000000000000005,4.0,2,N,481
0.01,0.31000000000000005,4.0,3,N,482
0.01,0.31000000000000005,4.0,4,N,483
0.01,0.31000000000000005,4.0,5,N,484
0.01,0.31000000000000005,4.300000000000002,1,N,485
0.01,0.31000000000000005,4.300000000000002,2,N,486
0.01,0.31000000000000005,4.300000000000002,3,N,487
0.01,0.31000000000000005,4.300000000000002,4,N,488
0.01,0.31000000000000005,4.300000000000002,5,N,489
0.01,0.31000000000000005,4.6000000000000005,1,N,490
0.01,0.31000000000000005,4.6000000000000005,2,N,491
0.01,0.31000000000000005,4.6000000000000005,3,N,492
0.01,0.31000000000000005,4.6000000000000005,4,N,493
0.01,0.31000000000000005,4.6000000000000005,5,N,494
0.01,0.31000000000000005,4.9,1,N,495
0.01,0.31000000000000005,4.9,2,N,496
0.01,0.31000000000000005,4.9,3,N,497
0.01,0.31000000000000005,4.9,4,N,498
0.01,0.31000000000000005,4.9,5,N,499
0.01,0.41,0.01,1,N,500
0.01,0.41,0.01,2,N,501
0.01,0.41,0.01,3,N,502
0.01,0.41,0.01,4,N,503
0.01,0.41,0.01,5,N,504
0.01,0.41,0.11,1,N,505
0.01,0.41,0.11,2,N,506
0.01,0.41,0.11,3,N,507
0.01,0.41,0.11,4,N,508
0.01,0.41,0.11,5,N,509
0.01,0.41,0.21,1,N,510
0.01,0.41,0.21,2,N,511
0.01,0.41,0.21,3,N,512
0.01,0.41,0.21,4,N,513
0.01,0.41,0.21,5,N,514
0.01,0.41,0.31000000000000005,1,N,515
0.01,0.41,0.31000000000000005,2,N,516
0.01,0.41,0.31000000000000005,3,N,517
0.01,0.41,0.31000000000000005,4,N,518
0.01,0.41,0.31000000000000005,5,N,519
0.01,0.41,0.41,1,N,520
0.01,0.41,0.41,2,N,521
0.01,0.41,0.41,3,N,522
0.01,0.41,0.41,4,N,523
0.01,0.41,0.41,5,N,524
0.01,0.41,0.51,1,N,525
0.01,0.41,0.51,2,N,526
0.01,0.41,0.51,3,N,527
0.01,0.41,0.51,4,N,528
0.01,0.41,0.51,5,N,529
0.01,0.41,0.6100000000000001,1,N,530
0.01,0.41,0.6100000000000001,2,N,531
